"variable","factor","lower","upper"
"Q1__Latitude__continuous","F1",-0.260673875206704,0.0846159717987971
"Q1__Latitude__continuous","F2",-0.329331166861995,0.0276720517012173
"Q1__Longitude__continuous","F1",-0.207957937249737,0.100486983458144
"Q1__Longitude__continuous","F2",-0.179819208670702,0.123837691775588
"Q1__Altitude__continuous","F1",-0.119861441806273,0.314677674253745
"Q1__Altitude__continuous","F2",0.39245567739463,0.667172651904832
"Q1__Accuracy__continuous","F1",0.761897868696624,0.950104043935589
"Q1__Accuracy__continuous","F2",0.131452194124816,0.498289385570897
"Q5__AgeYears__continuous","F1",-0.600684656405069,-0.177873864893455
"Q5__AgeYears__continuous","F2",-0.326705771979018,0.141783215489615
"Q50__How_much_land_that_is_yours_do_you_cultivate_bigha__continuous","F1",0.706343906049654,0.935111734269189
"Q50__How_much_land_that_is_yours_do_you_cultivate_bigha__continuous","F2",-0.13300700839533,0.28398463473061
"Q62__How_much_VEGETABLES_do_you_harvest_per_year_from_this_plot_kilograms__continuous","F1",-0.21476991331847,0.220653406784256
"Q62__How_much_VEGETABLES_do_you_harvest_per_year_from_this_plot_kilograms__continuous","F2",-0.104875621362426,0.26285017133853
"Q101__how_many_people_live_in_this_household__continuous","F1",-0.118357863677584,0.182877173661796
"Q101__how_many_people_live_in_this_household__continuous","F2",-0.0440186140592438,0.383449134586496
"Q106__Education_level_of_this_person_that_is_interviewed_years_of_formal_education__continuous","F1",0.00839097693925004,0.384938718728861
"Q106__Education_level_of_this_person_that_is_interviewed_years_of_formal_education__continuous","F2",-0.0610282366410132,0.310693602894585
"Q107__Education_level_of_your_wife_husband_How_many_years_of_formal_education__continuous","F1",0.502009550155279,0.815461376208751
"Q107__Education_level_of_your_wife_husband_How_many_years_of_formal_education__continuous","F2",-0.31916789046997,0.533469847984125
"Q108__What_is_your_households_yearly_income_from_agriculture_NPR__continuous","F1",-0.11233926339089,0.482691936230172
"Q108__What_is_your_households_yearly_income_from_agriculture_NPR__continuous","F2",-0.314555465419426,0.0455001366293119
"Q109__What_is_your_households_yearly_income_overall_including_agriculture_NPR__continuous","F1",-0.0446846653663004,0.281027487169918
"Q109__What_is_your_households_yearly_income_overall_including_agriculture_NPR__continuous","F2",0.545895383423701,0.960438075916856
"Q0__hope_total__continuous","F1",0.119109728334495,0.471790844821465
"Q0__hope_total__continuous","F2",-0.236578708014309,0.0830227138211193
"Q0__Positive_Negative_Score__continuous","F1",-0.0122821496193248,0.247304242727564
"Q0__Positive_Negative_Score__continuous","F2",-0.0460894769901833,0.29820264135513
"Q0__Distance__continuous","F1",0.179571471826617,0.692098131931179
"Q0__Distance__continuous","F2",-0.0529226114352709,0.247667217913075
"Q0__self_control_score__continuous","F1",-0.125369298052036,0.135302663414324
"Q0__self_control_score__continuous","F2",0.217117714078727,0.565206740886346
"Q110__Do_you_currently_have_a_loan_if_no_zero_if_yes_amount_of_money_loaned_log_NPR__continuous","F1",-0.128329379455762,0.536726784716192
"Q110__Do_you_currently_have_a_loan_if_no_zero_if_yes_amount_of_money_loaned_log_NPR__continuous","F2",-0.467715800055939,0.0984145148787854
"Q111__Generally_speaking_would_you_say_that_most_people_can__ordinal","F1",-0.0456117275952847,0.227892490583204
"Q111__Generally_speaking_would_you_say_that_most_people_can__ordinal","F2",0.369929721981649,0.841249000910771
"Q0__average_of_farming_practices__ordinal","F1",0.353567578011204,0.774957415273372
"Q0__average_of_farming_practices__ordinal","F2",-0.222673869138702,0.124067486849292
"Q4__HasPhoneNumber__binary__1","F1",-0.153473824643699,0.156572043363444
"Q4__HasPhoneNumber__binary__1","F2",0.276057370195311,0.656070169335286
"Q10__SexMale__binary__1","F1",0.165857993346929,0.540910552967331
"Q10__SexMale__binary__1","F2",-0.637247350204546,-0.188058947811441
"Q55__For_Vegetables_do_you_use_improved_and_or_variety_seeds_yes__binary__1","F1",0.242626221630567,0.583284302644401
"Q55__For_Vegetables_do_you_use_improved_and_or_variety_seeds_yes__binary__1","F2",-0.0410399730115082,0.750061553738534
"Q57__If_you_self_prepare_seedlings_how_Nursery__binary__1","F1",-0.17558979930363,0.462960809318066
"Q57__If_you_self_prepare_seedlings_how_Nursery__binary__1","F2",-0.00361660301873441,0.440491999746322
"Q70__in_the_past_12_months_did_you_receive_any_info_from_anyone_on_agriculture__binary__1","F1",-0.48767557255144,0.108097648920766
"Q70__in_the_past_12_months_did_you_receive_any_info_from_anyone_on_agriculture__binary__1","F2",-0.377603812107098,-0.0196988067621292
