"","F1","F2"
"Q1__Latitude__continuous",-0.101087221014582,0.306012727397171
"Q1__Longitude__continuous",-0.15373763588032,-0.0830298170294396
"Q1__Altitude__continuous",-0.0492997115311459,0.10393094593551
"Q1__Accuracy__continuous",-0.035046300230294,0.14742441897722
"Q5__AgeYears__continuous",0.00681403123204216,0.514223511329885
"Q50__How_much_land_that_is_yours_do_you_cultivate_bigha__continuous",0.560300390717059,0.0800865087609396
"Q62__How_much_VEGETABLES_do_you_harvest_per_year_from_this_plot_kilograms__continuous",0.885304718861941,-0.0161919141735474
"Q101__how_many_people_live_in_this_household__continuous",0.304645977054604,0.42144789616009
"Q106__Education_level_of_this_person_that_is_interviewed_years_of_formal_education__continuous",-0.405408451168509,0.214558895173771
"Q107__Education_level_of_your_wife_husband_How_many_years_of_formal_education__continuous",-0.0962857414421707,-0.222541915554748
"Q108__What_is_your_households_yearly_income_from_agriculture_NPR__continuous",0.849262505486993,0.0644445366579846
"Q109__What_is_your_households_yearly_income_overall_including_agriculture_NPR__continuous",0.019148368086716,0.654710477645809
"Q0__hope_total__continuous",-0.0640925426952245,0.626482571192684
"Q0__Positive_Negative_Score__continuous",0.0877484064055173,-0.0475811274675513
"Q0__Distance__continuous",0.031363774070455,0.000654282102624054
"Q0__self_control_score__continuous",0.111700715784388,0.503935608244618
"Q110__Do_you_currently_have_a_loan_if_no_zero_if_yes_amount_of_money_loaned_log_NPR__continuous",0.180303551868317,0.370229593435097
"Q111__Generally_speaking_would_you_say_that_most_people_can__ordinal",0.139891375418149,-0.470341231788817
"Q0__average_of_farming_practices__ordinal",0.68003252237934,0.400871033844851
"Q4__HasPhoneNumber__binary__1",-0.00284327379056989,0.49820941833261
"Q10__SexMale__binary__1",0.202969424777328,0.140491610708101
"Q55__For_Vegetables_do_you_use_improved_and_or_variety_seeds_yes__binary__1",-0.15542627292674,0.220461478303668
"Q57__If_you_self_prepare_seedlings_how_Nursery__binary__1",0.101954006685576,-0.148626068801851
"Q70__in_the_past_12_months_did_you_receive_any_info_from_anyone_on_agriculture__binary__1",0.820275968263411,-0.230478177519574
