"","F1","F2","F3","F4"
"Q5__AgeYears__continuous",0.0144810371323528,0.641398941111416,0.0750024057440886,0.0704538183971853
"Q50__How_much_land_that_is_yours_do_you_cultivate_bigha__continuous",0.751388368874162,-0.035902265269909,-0.031825738580421,0.00831461394753115
"Q106__Education_level_of_this_person_that_is_interviewed_years_of_formal_education__continuous",-0.37398491978912,0.0382801633702176,-0.279262571531959,-0.0553991100599724
"Q0__hope_total__continuous",-0.034582690772435,0.440552080049424,0.0606373299146556,0.138253250576505
"Q0__Positive_Negative_Score__continuous",0.014242750897948,0.00789187925630057,-0.0360454015183562,-0.111279257710874
"Q0__self_control_score__continuous",0.0478595797002892,0.57782013242846,0.031651979580315,0.0242464446066414
"Q1__Altitude_log__continuous",-0.0964499345668306,-0.0943952009940001,0.000820032705732294,0.0713374510026452
"Q52__On_how_much_land_do_you_grow_vegetables_bigha_log__continuous",0.534729610537355,0.557735280537168,-0.0274191138204901,-0.19437146963037
"Q62__How_much_VEGETABLES_do_you_harvest_per_year_from_this_plot_kilograms_log__continuous",0.840739304931535,0.0533142454925642,-0.00993090714161356,-0.171642510173542
"Q101__how_many_people_live_in_this_household_log__continuous",0.344129059582476,0.312381130263919,0.115650947270113,0.20318356102185
"Q107__Education_level_of_your_wife_husband_How_many_years_of_formal_education_log__continuous",-0.0149472061129804,-0.0123006784084869,-0.15137370607318,-0.308087302438065
"Q108__What_is_your_households_yearly_income_from_agriculture_NPR_log__continuous",0.640206934244943,-0.0368693899367463,-0.000511012946471863,-0.0218223092912346
"Q109__What_is_your_households_yearly_income_overall_including_agriculture_NPR_log__continuous",-0.0326679395260652,0.656511709257041,0.0751040279693302,0.0230785890898983
"Q0__Distance_log__continuous",0.0895674121974476,-0.0915307782294687,0.0501516334069007,0.217725030582319
"Q0__TOTAL_AREA_sqrt__continuous",0.745546528722128,-0.206480068191118,0.0132410473631481,0.0269372574860192
"Q111__Generally_speaking_would_you_say_that_most_people_can__ordinal",0.0381773821572948,-0.331592427634017,-0.0022279767270971,-0.0244340063618587
"Q112__Generally_speaking_how_would_you_define_your_farming__ordinal",0.80924589027942,0.115852492274985,0.00782989102742742,0.0135347905031306
"Q0__average_of_farming_practices__ordinal",0.729180972126741,0.379643405539743,0.0347166427045492,0.10052198983147
"Q51__How_much_land_that_is_rented_or_leased_do_you_cultivate_bigha__ordinal",0.366185351577703,-0.650844808192715,0.036984296225209,0.0730771630812494
"Q110__Do_you_currently_have_a_loan_if_no_zero_if_yes_amount_of_money_loaned_NPR__ordinal",0.368732495936176,0.0412706684375593,0.0169731374162894,0.57239293629971
"Q4__HasPhoneNumber__binary__1",0.0139185500084896,0.583475299306427,0.246423016053864,0.315479129970319
"Q10__SexMale__binary__1",0.162452921067786,0.216744696822528,0.018349532731094,-0.117730526550695
"Q55__For_Vegetables_do_you_use_improved_and_or_variety_seeds_yes__binary__1",-0.0417043425586182,-0.0901698582647981,0.0235768342206985,0.85621935219412
"Q57__If_you_self_prepare_seedlings_how_Nursery__binary__1",-0.0554419199553791,0.0341237489163576,0.569418485600252,-0.0143592307505095
"Q70__in_the_past_12_months_did_you_receive_any_info_from_anyone_on_agriculture__binary__1",0.848413279238323,-0.0775371019069521,-0.0793152576166119,-0.351675323004022
