,X,Y,Type,Estimate
0,Q78__Names_of_organizations_ANIDA__binary_nominal__2,Q92__Current_loan_amount_XOF__continuous,LIN,6.136687108423864
1,Q77__Info_source_Govt__binary_nominal__4,Q92__Current_loan_amount_XOF__continuous,LIN,6.136687108423864
2,Q77__Info_source_Govt__binary_nominal__4,Q84__Years_using_drip_irrigation__continuous,LIN,3.6018351020111226
3,Q78__Names_of_organizations_ANIDA__binary_nominal__2,Q84__Years_using_drip_irrigation__continuous,LIN,3.6018351020111226
4,Q7__name_of_village_darou_sarr__binary_nominal__3,Q84__Years_using_drip_irrigation__continuous,LIN,3.2120537339348294
5,Q7__name_of_village_darou_Ndiaye__binary_nominal__2,Q95__Dislike_not_knowing_future__ordinal,LIN,3.1583100386858347
6,Q7__name_of_village_ndeuye__binary_nominal__11,Q92__Current_loan_amount_XOF__continuous,LIN,3.1381683606223416
7,Q6__Arrondissement_6__binary_nominal__3,Q84__Years_using_drip_irrigation__continuous,LIN,3.114538869023756
8,Q6__Arrondissement_6__binary_nominal__3,Q92__Current_loan_amount_XOF__continuous,LIN,2.99304796579561
9,Q77__Info_source_Govt__binary_nominal__4,Q0__Hope_total__continuous,LIN,2.9392873889511733
10,Q78__Names_of_organizations_ANIDA__binary_nominal__2,Q0__Hope_total__continuous,LIN,2.9392873889511733
11,Q7__name_of_village_darou_sarr__binary_nominal__3,Q92__Current_loan_amount_XOF__continuous,LIN,2.8703167164539525
12,Q7__name_of_village_ndeuye__binary_nominal__11,Q0__Hope_total__continuous,LIN,2.8360352650442326
13,Q89__Secondary_education__binary_nominal__3,Q0__Education_years__continuous,LIN,2.815305042654975
14,Q73__Machinery_pump_Machinery_draft_animals_Machinery_sprayer_Machinery_daba__binary_nominal__22,Q0__Education_years__continuous,LIN,2.6120077296134805
15,Q82__Irrigation_drip__binary_nominal__1,Q84__Years_using_drip_irrigation__continuous,LIN,2.527242757020666
16,Q85__Group_6__binary_nominal__6,Q84__Years_using_drip_irrigation__continuous,LIN,2.5242480325572743
17,Q88__Own_business_income_source_Formal_employment_income_source_Transfers_from_migrants_income_source__binary_nominal__4,Q87__Household_size__continuous,LIN,2.4452208345480453
18,Q76__Received_agri_info_last_12m__binary__1,Q92__Current_loan_amount_XOF__continuous,LIN,2.330370110694137
19,Q6__Arrondissement_6__binary_nominal__3,Q0__Hope_total__continuous,LIN,2.1975098172030196
20,Q82__irrigation_surface__binary_nominal__3,Q84__Years_using_drip_irrigation__continuous,LIN,-2.0367985256210606
21,Q0__Has_Education_Yes_No__binary__1,Q0__Education_years__continuous,LIN,2.011376233184551
22,Q85__Group_6__binary_nominal__6,Q1__Altitude__continuous,LIN,1.986141835672247
23,Q82__Irrigation_drip__binary_nominal__1,Q92__Current_loan_amount_XOF__continuous,LIN,1.976554139438987
24,Q7__name_of_village_darou_sarr__binary_nominal__3,Q0__Hope_total__continuous,LIN,1.9020175375823756
25,Q73__Machinery_draft_animals_Machinery_sprayer_Machinery_daba_Machinery_hoe_sine__binary_nominal__5,Q95__Dislike_not_knowing_future__ordinal,LIN,1.8820345287104419
26,Q78__Names_of_organizations_ANIDA__binary_nominal__2,Q5__Age__continuous,LIN,-1.8363404594105384
27,Q77__Info_source_Govt__binary_nominal__4,Q5__Age__continuous,LIN,-1.8363404594105384
28,Q82__Irrigation_drip__binary_nominal__1,Q0__Hope_total__continuous,LIN,1.7239555240010014
