"variable","lower","upper"
"Q5__AgeYears__continuous",0.521037962008427,0.786343440075101
"Q50__How_much_land_that_is_yours_do_you_cultivate_bigha__continuous",0.378909313151609,0.587133261723857
"Q106__Education_level_of_this_person_that_is_interviewed_years_of_formal_education__continuous",0.642632919801399,0.879602799050607
"Q0__hope_total__continuous",0.47354344768873,0.672379228501973
"Q0__Positive_Negative_Score__continuous",0.933827841372499,0.999457438187837
"Q0__self_control_score__continuous",0.48679264382935,0.722931722685837
"Q1__Altitude_log__continuous",0.927683444191056,0.998355593650291
"Q52__On_how_much_land_do_you_grow_vegetables_bigha_log__continuous",0.426843017574086,0.660769278842238
"Q62__How_much_VEGETABLES_do_you_harvest_per_year_from_this_plot_kilograms_log__continuous",0.251452956646083,0.429554096641731
"Q101__how_many_people_live_in_this_household_log__continuous",0.651994991305662,0.866108457040665
"Q107__Education_level_of_your_wife_husband_How_many_years_of_formal_education_log__continuous",0.848263846024499,0.986172422195776
"Q108__What_is_your_households_yearly_income_from_agriculture_NPR_log__continuous",0.27285791962063,0.491757716129042
"Q109__What_is_your_households_yearly_income_overall_including_agriculture_NPR_log__continuous",0.197843798529583,0.414095932484773
"Q0__Distance_log__continuous",0.928115818025842,0.998816251284297
"Q0__TOTAL_AREA_sqrt__continuous",0.321969154495849,0.517113096779161
"Q111__Generally_speaking_would_you_say_that_most_people_can__ordinal",0.730460128088051,0.929176135414312
"Q112__Generally_speaking_how_would_you_define_your_farming__ordinal",0.326206139517767,0.570795510272603
"Q0__average_of_farming_practices__ordinal",0.272928639148326,0.456824219210635
"Q51__How_much_land_that_is_rented_or_leased_do_you_cultivate_bigha__ordinal",0.54206583912984,0.793044284275203
"Q110__Do_you_currently_have_a_loan_if_no_zero_if_yes_amount_of_money_loaned_NPR__ordinal",0.743668377080347,0.914562330828163
"Q4__HasPhoneNumber__binary__1",0.8602233807544,0.979184277180409
"Q10__SexMale__binary__1",0.946937312377938,0.999077670216347
"Q55__For_Vegetables_do_you_use_improved_and_or_variety_seeds_yes__binary__1",0.996724225669885,0.999797486744971
"Q57__If_you_self_prepare_seedlings_how_Nursery__binary__1",0.990350748900146,0.998950328708502
"Q70__in_the_past_12_months_did_you_receive_any_info_from_anyone_on_agriculture__binary__1",0.520169757611481,0.756175354645637
