"variable","psi_median"
"Q1__Latitude__continuous",0.897808547434217
"Q1__Longitude__continuous",0.958682919749348
"Q1__Altitude__continuous",0.983552222941868
"Q1__Accuracy__continuous",0.972988951579109
"Q5__AgeYears__continuous",0.729388373035282
"Q50__How_much_land_that_is_yours_do_you_cultivate_bigha__continuous",0.663160419024127
"Q62__How_much_VEGETABLES_do_you_harvest_per_year_from_this_plot_kilograms__continuous",0.212739834393924
"Q101__how_many_people_live_in_this_household__continuous",0.690870716197245
"Q106__Education_level_of_this_person_that_is_interviewed_years_of_formal_education__continuous",0.787965171176294
"Q107__Education_level_of_your_wife_husband_How_many_years_of_formal_education__continuous",0.923808605992845
"Q108__What_is_your_households_yearly_income_from_agriculture_NPR__continuous",0.256732699788354
"Q109__What_is_your_households_yearly_income_overall_including_agriculture_NPR__continuous",0.563137127492057
"Q0__hope_total__continuous",0.605256040003249
"Q0__Positive_Negative_Score__continuous",0.981091958775403
"Q0__Distance__continuous",0.9910895569999
"Q0__self_control_score__continuous",0.712002902327258
"Q110__Do_you_currently_have_a_loan_if_no_zero_if_yes_amount_of_money_loaned_log_NPR__continuous",0.80521381487103
"Q111__Generally_speaking_would_you_say_that_most_people_can__ordinal",0.765143166139873
"Q0__average_of_farming_practices__ordinal",0.305762933089562
"Q4__HasPhoneNumber__binary__1",0.711726755254783
"Q10__SexMale__binary__1",0.903534191693607
"Q55__For_Vegetables_do_you_use_improved_and_or_variety_seeds_yes__binary__1",0.932505374124158
"Q57__If_you_self_prepare_seedlings_how_Nursery__binary__1",0.96702619465018
"Q70__in_the_past_12_months_did_you_receive_any_info_from_anyone_on_agriculture__binary__1",0.307974930145182
